epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7725,3.09051,7.24209,2.04226,0.07991,0.20005,0.12172,0.07747,2.67387,8.37768,1.9356,0.000361516,0.000361516,0.000361516
2,65.9515,2.69824,4.32046,1.9446,0.03965,0.23492,0.15094,0.09979,2.7797,7.43769,1.99765,0.000724604,0.000724604,0.000724604
3,78.0742,2.70411,3.70993,1.92737,0.17252,0.57061,0.35135,0.20038,2.74812,6.17832,1.98706,0.00108036,0.00108036,0.00108036
4,90.2009,2.60823,3.28802,1.90092,0.62175,0.4869,0.54227,0.35711,2.61825,3.92915,2.00915,0.001078,0.001078,0.001078
5,102.555,2.61012,3.05807,1.9055,0.65502,0.59871,0.64358,0.41661,2.54416,2.97037,1.98397,0.001067,0.001067,0.001067
6,114.802,2.55785,2.79455,1.88932,0.50584,0.47684,0.44861,0.28909,2.51778,4.6384,1.99869,0.00105601,0.00105601,0.00105601
7,127.186,2.48163,2.74577,1.8801,0.57139,0.60196,0.56509,0.37373,2.41852,2.85042,1.9476,0.00104501,0.00104501,0.00104501
8,139.238,2.57591,2.53587,1.90122,0.71724,0.6666,0.72991,0.46958,2.47317,2.67638,1.9366,0.00103401,0.00103401,0.00103401
9,151.066,2.4017,2.30356,1.8744,0.73008,0.69144,0.69704,0.45966,2.48107,2.3474,1.95702,0.00102301,0.00102301,0.00102301
10,163.294,2.45108,2.20181,1.86393,0.72974,0.71715,0.73578,0.48272,2.39861,2.30837,1.92086,0.00101201,0.00101201,0.00101201
11,175.846,2.41546,2.15351,1.86591,0.78289,0.71598,0.75385,0.50362,2.33614,2.02419,1.90121,0.00100101,0.00100101,0.00100101
12,188.239,2.43753,2.07849,1.87042,0.79089,0.76329,0.83173,0.55763,2.32035,1.78078,1.91756,0.000990012,0.000990012,0.000990012
13,200.477,2.49741,2.0581,1.86874,0.74099,0.69459,0.73225,0.46643,2.51227,2.38342,1.94634,0.000979013,0.000979013,0.000979013
14,212.702,2.36958,1.82818,1.87555,0.794,0.72024,0.78461,0.5243,2.31895,1.87119,1.91318,0.000968014,0.000968014,0.000968014
15,225.146,2.40763,1.82046,1.85347,0.79091,0.77492,0.83792,0.54771,2.38591,1.59582,1.9073,0.000957015,0.000957015,0.000957015
16,236.935,2.38163,1.73407,1.87471,0.84452,0.79095,0.86913,0.5813,2.3358,1.45511,1.91102,0.000946016,0.000946016,0.000946016
17,249.024,2.41697,1.65397,1.87068,0.8321,0.8099,0.87593,0.57357,2.38178,1.45105,1.91567,0.000935018,0.000935018,0.000935018
18,261.241,2.39948,1.63669,1.85144,0.85335,0.81524,0.89154,0.59862,2.32716,1.35642,1.91084,0.000924019,0.000924019,0.000924019
19,273.677,2.32452,1.60014,1.83932,0.82347,0.78252,0.85617,0.5651,2.36697,1.48943,1.93916,0.00091302,0.00091302,0.00091302
20,285.889,2.39115,1.62555,1.86723,0.86218,0.81694,0.89076,0.58957,2.3552,1.3767,1.91284,0.000902021,0.000902021,0.000902021
21,297.938,2.33612,1.47629,1.84807,0.87576,0.83905,0.90858,0.60783,2.32635,1.26416,1.91157,0.000891022,0.000891022,0.000891022
22,310.084,2.2738,1.45751,1.84131,0.86608,0.8109,0.89257,0.60152,2.29512,1.35841,1.90751,0.000880023,0.000880023,0.000880023
23,322.766,2.34457,1.43413,1.84155,0.87008,0.85148,0.91187,0.62347,2.25545,1.22011,1.89913,0.000869024,0.000869024,0.000869024
24,335.605,2.33062,1.38416,1.85324,0.86714,0.8279,0.89727,0.61546,2.26583,1.29403,1.89893,0.000858025,0.000858025,0.000858025
25,347.773,2.28853,1.37872,1.84717,0.88771,0.8556,0.92686,0.63026,2.24702,1.17517,1.89759,0.000847026,0.000847026,0.000847026
26,360.203,2.31748,1.45197,1.82852,0.87803,0.85253,0.91685,0.62556,2.28063,1.23526,1.90013,0.000836027,0.000836027,0.000836027
27,372.529,2.27769,1.35242,1.82742,0.89494,0.85482,0.92111,0.63095,2.28885,1.19774,1.89754,0.000825029,0.000825029,0.000825029
28,385.128,2.33043,1.33632,1.84824,0.89602,0.84959,0.92179,0.62237,2.32059,1.22205,1.91783,0.00081403,0.00081403,0.00081403
29,397.2,2.28564,1.29861,1.84763,0.88083,0.84813,0.91849,0.62327,2.30545,1.22555,1.91579,0.000803031,0.000803031,0.000803031
30,409.52,2.27471,1.2952,1.82528,0.84682,0.84252,0.91255,0.61358,2.28595,1.2716,1.90338,0.000792032,0.000792032,0.000792032
31,421.768,2.23338,1.23613,1.84462,0.89473,0.85488,0.92381,0.62109,2.34235,1.17679,1.9311,0.000781033,0.000781033,0.000781033
32,434.065,2.32632,1.3216,1.84139,0.88713,0.84481,0.91466,0.6165,2.39654,1.26129,1.93439,0.000770034,0.000770034,0.000770034
33,446.413,2.31442,1.26184,1.84155,0.89404,0.85146,0.9251,0.63399,2.26788,1.19717,1.89895,0.000759035,0.000759035,0.000759035
34,459.452,2.27284,1.21256,1.8409,0.89986,0.86251,0.92646,0.64215,2.25108,1.15876,1.90363,0.000748036,0.000748036,0.000748036
35,471.951,2.23637,1.20237,1.82225,0.90344,0.8422,0.9197,0.61985,2.29593,1.24569,1.9074,0.000737037,0.000737037,0.000737037
36,483.961,2.28386,1.21721,1.86401,0.89604,0.85922,0.92455,0.62831,2.29921,1.16079,1.92221,0.000726038,0.000726038,0.000726038
37,496.139,2.23702,1.17021,1.80458,0.86446,0.80621,0.87,0.59684,2.31416,1.44139,1.91734,0.00071504,0.00071504,0.00071504
38,508.956,2.27765,1.18755,1.82223,0.911,0.86293,0.93222,0.62426,2.36756,1.12708,1.9342,0.000704041,0.000704041,0.000704041
39,520.945,2.2242,1.14589,1.82381,0.92065,0.88365,0.94088,0.64713,2.2256,1.05764,1.89751,0.000693042,0.000693042,0.000693042
40,533.14,2.24037,1.12555,1.82891,0.91049,0.86438,0.93163,0.64911,2.22554,1.12427,1.8981,0.000682043,0.000682043,0.000682043
41,545.441,2.1906,1.10048,1.8289,0.92058,0.88155,0.94314,0.6554,2.23763,1.04381,1.8947,0.000671044,0.000671044,0.000671044
42,558.266,2.21713,1.12335,1.82192,0.91242,0.87431,0.93556,0.6477,2.22511,1.09301,1.90572,0.000660045,0.000660045,0.000660045
43,570.494,2.30145,1.14103,1.81844,0.91844,0.88684,0.94079,0.64783,2.24219,1.04796,1.90247,0.000649046,0.000649046,0.000649046
44,584.207,2.20414,1.09564,1.82031,0.92329,0.88482,0.9454,0.65876,2.21879,1.03967,1.90409,0.000638047,0.000638047,0.000638047
45,596.942,2.20486,1.09063,1.81754,0.93142,0.88164,0.94249,0.6578,2.22466,1.05183,1.89603,0.000627048,0.000627048,0.000627048
46,609.841,2.22657,1.0916,1.82253,0.92806,0.89217,0.94698,0.66478,2.1773,1.01385,1.88594,0.000616049,0.000616049,0.000616049
47,623.283,2.29291,1.1193,1.81493,0.92552,0.87776,0.94424,0.65863,2.19665,1.028,1.8889,0.000605051,0.000605051,0.000605051
48,635.582,2.21194,1.08596,1.81289,0.92269,0.88799,0.94652,0.66215,2.1813,1.01986,1.8996,0.000594052,0.000594052,0.000594052
49,649.869,2.17763,1.05603,1.83904,0.9277,0.88784,0.94877,0.6646,2.19177,0.98822,1.89047,0.000583053,0.000583053,0.000583053
50,662.029,2.20742,1.08221,1.82729,0.92294,0.88986,0.94651,0.66425,2.19294,1.01554,1.88752,0.000572054,0.000572054,0.000572054
51,674.017,2.19057,1.09383,1.81659,0.91165,0.8651,0.93649,0.65911,2.18811,1.14074,1.88907,0.000561055,0.000561055,0.000561055
52,686.434,2.18035,1.09578,1.79824,0.91948,0.88078,0.94079,0.65812,2.19247,1.06015,1.8861,0.000550056,0.000550056,0.000550056
53,699.355,2.23042,1.11243,1.81675,0.92699,0.89063,0.94819,0.65264,2.26136,1.01956,1.90493,0.000539057,0.000539057,0.000539057
54,711.433,2.15093,1.0152,1.80613,0.93491,0.89118,0.94939,0.66866,2.16448,0.99333,1.88382,0.000528058,0.000528058,0.000528058
55,724.297,2.21822,1.03581,1.83179,0.92446,0.89663,0.95069,0.65712,2.23124,1.00728,1.90792,0.000517059,0.000517059,0.000517059
