epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9333,3.07992,6.97257,1.98563,0.04837,0.31134,0.10614,0.07049,2.59496,9.78634,1.85638,0.000365871,0.000365871,0.000365871
2,68.4871,2.80948,4.48268,1.9337,0.41008,0.42128,0.34421,0.22016,2.47713,7.77015,1.93293,0.000728916,0.000728916,0.000728916
3,80.865,2.72812,3.90158,1.93438,0.57436,0.58367,0.53996,0.34985,2.36884,5.80554,1.96721,0.00108463,0.00108463,0.00108463
4,93.3518,2.55755,3.41392,1.89512,0.56471,0.56308,0.52828,0.33351,2.45004,4.93051,1.9677,0.001078,0.001078,0.001078
5,105.94,2.59594,3.12185,1.88912,0.73965,0.71141,0.77296,0.51307,2.31014,3.19178,1.89904,0.001067,0.001067,0.001067
6,118.555,2.55021,3.0099,1.88902,0.72746,0.72542,0.76763,0.50916,2.2487,2.95065,1.90284,0.00105601,0.00105601,0.00105601
7,134.054,2.47249,2.67316,1.86496,0.78211,0.73923,0.8081,0.53335,2.26519,2.63776,1.89177,0.00104501,0.00104501,0.00104501
8,147.089,2.47799,2.48403,1.88044,0.78321,0.72589,0.79992,0.53091,2.28665,2.41519,1.90021,0.00103401,0.00103401,0.00103401
9,159.249,2.42331,2.32447,1.88277,0.78854,0.77044,0.84055,0.54545,2.39366,4.22366,1.92653,0.00102301,0.00102301,0.00102301
10,172.34,2.42077,2.26887,1.88113,0.76256,0.76449,0.81869,0.5222,2.29289,1.86927,1.90692,0.00101201,0.00101201,0.00101201
11,184.775,2.42095,2.1577,1.86872,0.80089,0.74073,0.82899,0.53975,2.30333,1.80857,1.88656,0.00100101,0.00100101,0.00100101
12,197.089,2.46972,2.02429,1.88044,0.80647,0.7599,0.83287,0.54674,2.36401,1.60971,1.90597,0.000990012,0.000990012,0.000990012
13,209.774,2.44447,1.97817,1.8526,0.82745,0.7961,0.86576,0.57164,2.27287,1.47319,1.88707,0.000979013,0.000979013,0.000979013
14,222.077,2.40673,1.88496,1.85664,0.78229,0.76111,0.80869,0.52003,2.43983,1.61358,1.91781,0.000968014,0.000968014,0.000968014
15,233.89,2.40239,1.75666,1.86909,0.84984,0.8237,0.88506,0.59543,2.22624,1.30595,1.89306,0.000957015,0.000957015,0.000957015
16,246.054,2.33242,1.79107,1.85025,0.7674,0.73231,0.75954,0.49611,2.39473,1.94777,1.90941,0.000946016,0.000946016,0.000946016
17,258.484,2.31781,1.67444,1.85943,0.84561,0.81889,0.88712,0.59289,2.20359,1.31362,1.88758,0.000935018,0.000935018,0.000935018
18,270.844,2.36947,1.60558,1.8594,0.87568,0.82737,0.90153,0.60065,2.26302,1.26051,1.89602,0.000924019,0.000924019,0.000924019
19,283.182,2.35792,1.56561,1.86316,0.83186,0.81251,0.88562,0.58288,2.32828,1.45517,1.90498,0.00091302,0.00091302,0.00091302
20,295.721,2.34938,1.56928,1.87303,0.85442,0.82037,0.88525,0.59408,2.24748,1.30589,1.88228,0.000902021,0.000902021,0.000902021
21,307.698,2.32458,1.5083,1.8458,0.86797,0.81252,0.88406,0.60393,2.19298,1.29671,1.8746,0.000891022,0.000891022,0.000891022
22,319.73,2.32087,1.50821,1.84539,0.87986,0.83479,0.91138,0.62217,2.21094,1.206,1.88469,0.000880023,0.000880023,0.000880023
23,332.628,2.33168,1.45215,1.8553,0.85605,0.79551,0.86276,0.58076,2.24876,1.4293,1.88885,0.000869024,0.000869024,0.000869024
24,344.961,2.36812,1.43491,1.85218,0.89283,0.84077,0.91124,0.61037,2.20467,1.21838,1.8796,0.000858025,0.000858025,0.000858025
25,357.398,2.29793,1.36121,1.85302,0.88057,0.84751,0.91468,0.62498,2.25401,1.19261,1.89624,0.000847026,0.000847026,0.000847026
26,370.251,2.34396,1.38628,1.86034,0.90147,0.85287,0.92128,0.62628,2.26678,1.13836,1.8922,0.000836027,0.000836027,0.000836027
27,383.259,2.36473,1.42148,1.8696,0.87494,0.84187,0.91064,0.61814,2.19849,1.20088,1.91213,0.000825029,0.000825029,0.000825029
28,398.781,2.36182,1.3826,1.84901,0.8873,0.84531,0.91555,0.61629,2.21537,1.17491,1.88141,0.00081403,0.00081403,0.00081403
29,411.09,2.30373,1.33687,1.85744,0.8882,0.86181,0.92543,0.63324,2.28491,1.09387,1.89807,0.000803031,0.000803031,0.000803031
30,423.132,2.2786,1.32089,1.86231,0.90666,0.85989,0.93065,0.63088,2.21186,1.10257,1.88713,0.000792032,0.000792032,0.000792032
31,434.858,2.29418,1.26652,1.84184,0.90789,0.85712,0.92959,0.63781,2.15916,1.10996,1.88409,0.000781033,0.000781033,0.000781033
32,447.479,2.30065,1.30842,1.82466,0.89379,0.84984,0.92006,0.62214,2.20003,1.22548,1.87578,0.000770034,0.000770034,0.000770034
33,459.494,2.33286,1.3229,1.83887,0.88535,0.86451,0.92498,0.63265,2.17582,1.11621,1.87714,0.000759035,0.000759035,0.000759035
34,471.654,2.37209,1.3105,1.85708,0.89462,0.87872,0.9295,0.63026,2.19499,1.07375,1.88832,0.000748036,0.000748036,0.000748036
35,483.868,2.28444,1.2179,1.84562,0.91306,0.87965,0.94128,0.64675,2.18308,1.06063,1.88064,0.000737037,0.000737037,0.000737037
36,496.598,2.30678,1.25073,1.84415,0.90709,0.87224,0.93494,0.63993,2.17765,1.07303,1.87578,0.000726038,0.000726038,0.000726038
