epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1371,1.43934,2.90091,3.61793,1.34105,0.29631,0.03774,0.02914,0.01803,0.29631,0.03774,0.02914,0.01565,1.61152,3.07061,4.05684,1.521,0.00018,0.00018,0.00018
2,19.2195,1.43163,2.94061,3.73139,1.36245,0.29631,0.03774,0.02914,0.01803,0.29631,0.03774,0.02914,0.01565,1.61152,3.07061,4.05684,1.521,0.000376238,0.000376238,0.000376238
3,25.2322,1.4651,2.91748,3.60328,1.31156,0.80471,0.03774,0.03581,0.02303,0.80471,0.03774,0.03581,0.02099,1.63438,3.06758,4.05272,1.5205,0.000568516,0.000568516,0.000568516
4,31.3574,1.46059,3.06678,3.68761,1.35699,0.80471,0.03774,0.03581,0.02303,0.80471,0.03774,0.03581,0.02099,1.63438,3.06758,4.05272,1.5205,0.000756834,0.000756834,0.000756834
5,37.6207,1.45113,2.94104,3.61584,1.32983,0.80471,0.03774,0.03581,0.02303,0.80471,0.03774,0.03581,0.02099,1.63438,3.06758,4.05272,1.5205,0.000941192,0.000941192,0.000941192
6,44.8756,1.4203,3.05432,3.6601,1.31999,0.1485,0.03774,0.02198,0.00995,0.12754,0.03774,0.02662,0.00946,1.5605,3.01253,4.17957,1.43191,0.00112159,0.00112159,0.00112159
7,48.9151,1.37635,2.85799,3.35679,1.3679,0.1485,0.03774,0.02198,0.00995,0.12754,0.03774,0.02662,0.00946,1.5605,3.01253,4.17957,1.43191,0.00129803,0.00129803,0.00129803
8,52.8884,1.47632,2.93079,3.76482,1.25752,0.1485,0.03774,0.02198,0.00995,0.12754,0.03774,0.02662,0.00946,1.5605,3.01253,4.17957,1.43191,0.00147051,0.00147051,0.00147051
9,57.2095,1.42881,2.92605,3.5175,1.37196,0.1485,0.03774,0.02198,0.00995,0.12754,0.03774,0.02662,0.00946,1.5605,3.01253,4.17957,1.43191,0.00163902,0.00163902,0.00163902
10,61.275,1.36867,2.87756,3.50015,1.30034,0.1485,0.03774,0.02198,0.00995,0.12754,0.03774,0.02662,0.00946,1.5605,3.01253,4.17957,1.43191,0.00180358,0.00180358,0.00180358
11,65.328,1.3894,2.78088,3.5103,1.33749,0.1485,0.03774,0.02198,0.00995,0.12754,0.03774,0.02662,0.00946,1.5605,3.01253,4.17957,1.43191,0.001802,0.001802,0.001802
12,69.516,1.455,2.84325,3.65003,1.27017,0.1485,0.03774,0.02198,0.00995,0.12754,0.03774,0.02662,0.00946,1.5605,3.01253,4.17957,1.43191,0.0017822,0.0017822,0.0017822
13,73.9417,1.38911,2.73616,3.73972,1.264,0.07978,0.03774,0.00601,0.00348,0.05077,0.03774,0.01378,0.00612,1.55042,3.11659,4.20705,1.39562,0.0017624,0.0017624,0.0017624
14,77.7769,1.5432,3.03552,3.80708,1.33127,0.07978,0.03774,0.00601,0.00348,0.05077,0.03774,0.01378,0.00612,1.55042,3.11659,4.20705,1.39562,0.0017426,0.0017426,0.0017426
15,81.4491,1.45789,3.01312,3.59903,1.43649,0.07978,0.03774,0.00601,0.00348,0.05077,0.03774,0.01378,0.00612,1.55042,3.11659,4.20705,1.39562,0.0017228,0.0017228,0.0017228
16,85.5598,1.46049,2.81101,3.72807,1.27524,0.07978,0.03774,0.00601,0.00348,0.05077,0.03774,0.01378,0.00612,1.55042,3.11659,4.20705,1.39562,0.001703,0.001703,0.001703
17,89.5473,1.36957,2.85,3.57962,1.28548,0.07978,0.03774,0.00601,0.00348,0.05077,0.03774,0.01378,0.00612,1.55042,3.11659,4.20705,1.39562,0.0016832,0.0016832,0.0016832
18,93.4614,1.39629,2.78354,3.76913,1.26659,0.07978,0.03774,0.00601,0.00348,0.05077,0.03774,0.01378,0.00612,1.55042,3.11659,4.20705,1.39562,0.0016634,0.0016634,0.0016634
19,97.4105,1.46971,2.91583,3.55085,1.37015,0.08341,0.03774,0.00833,0.00604,0.07165,0.0566,0.01652,0.00843,1.56139,3.14274,4.21648,1.40179,0.0016436,0.0016436,0.0016436
20,101.658,1.43506,2.95957,3.54846,1.3692,0.08341,0.03774,0.00833,0.00604,0.07165,0.0566,0.01652,0.00843,1.56139,3.14274,4.21648,1.40179,0.0016238,0.0016238,0.0016238
21,105.844,1.41588,2.83502,3.61322,1.32004,0.08341,0.03774,0.00833,0.00604,0.07165,0.0566,0.01652,0.00843,1.56139,3.14274,4.21648,1.40179,0.001604,0.001604,0.001604
22,109.736,1.52846,2.90508,3.66013,1.36158,0.08341,0.03774,0.00833,0.00604,0.07165,0.0566,0.01652,0.00843,1.56139,3.14274,4.21648,1.40179,0.0015842,0.0015842,0.0015842
23,113.594,1.39627,2.8713,3.45369,1.34628,0.08341,0.03774,0.00833,0.00604,0.07165,0.0566,0.01652,0.00843,1.56139,3.14274,4.21648,1.40179,0.0015644,0.0015644,0.0015644
24,117.503,1.51823,3.0149,3.68604,1.35008,0.08341,0.03774,0.00833,0.00604,0.07165,0.0566,0.01652,0.00843,1.56139,3.14274,4.21648,1.40179,0.0015446,0.0015446,0.0015446
25,121.232,1.31133,3.00992,3.36869,1.37649,0.08341,0.03774,0.00833,0.00604,0.07165,0.0566,0.01652,0.00843,1.56139,3.14274,4.21648,1.40179,0.0015248,0.0015248,0.0015248
26,126.31,1.51975,2.82801,3.7342,1.39982,0.04455,0.01887,0.00485,0.00276,0.05339,0.0566,0.01678,0.00636,1.5549,3.13503,4.1679,1.40718,0.001505,0.001505,0.001505
27,130.295,1.55839,2.99056,3.79712,1.29683,0.04455,0.01887,0.00485,0.00276,0.05339,0.0566,0.01678,0.00636,1.5549,3.13503,4.1679,1.40718,0.0014852,0.0014852,0.0014852
28,134.129,1.62658,3.35879,3.79586,1.48606,0.04455,0.01887,0.00485,0.00276,0.05339,0.0566,0.01678,0.00636,1.5549,3.13503,4.1679,1.40718,0.0014654,0.0014654,0.0014654
29,137.988,1.46998,3.05891,3.5195,1.39861,0.04455,0.01887,0.00485,0.00276,0.05339,0.0566,0.01678,0.00636,1.5549,3.13503,4.1679,1.40718,0.0014456,0.0014456,0.0014456
30,141.771,1.50688,2.9494,3.49702,1.50854,0.04455,0.01887,0.00485,0.00276,0.05339,0.0566,0.01678,0.00636,1.5549,3.13503,4.1679,1.40718,0.0014258,0.0014258,0.0014258
31,145.857,1.56956,3.37407,3.75349,1.44082,0.04455,0.01887,0.00485,0.00276,0.05339,0.0566,0.01678,0.00636,1.5549,3.13503,4.1679,1.40718,0.001406,0.001406,0.001406
32,150.191,2.02215,4.28314,35.9824,1.72556,0,0,0,0,0,0,0,0,2.95415,43.7864,inf,6.35004,0.0013862,0.0013862,0.0013862
33,159.325,2.78156,6.56306,59.2041,2.27013,0,0,0,0,0,0,0,0,2.95415,43.7864,inf,6.35004,0.0013664,0.0013664,0.0013664
34,168.195,2.83133,6.72348,51.1993,2.32782,0,0,0,0,0,0,0,0,2.95415,43.7864,inf,6.35004,0.0013466,0.0013466,0.0013466
35,177.396,2.89128,6.73716,70.7868,2.33458,0,0,0,0,0,0,0,0,2.95415,43.7864,inf,6.35004,0.0013268,0.0013268,0.0013268
36,186.212,2.7925,6.70669,69.2035,2.32288,0,0,0,0,0,0,0,0,2.95415,43.7864,inf,6.35004,0.001307,0.001307,0.001307
37,195.192,2.78299,6.67971,76.0379,2.33839,0,0,0,0,0,0,0,0,2.95415,43.7864,inf,6.35004,0.0012872,0.0012872,0.0012872
38,203.614,2.59529,6.67143,55.1978,2.23638,0.02947,0.30189,0.02273,0.0059,0,0,0,0,2.57619,7.49017,178.289,2.29237,0.0012674,0.0012674,0.0012674
39,212.27,2.77716,6.62204,68.8586,2.29889,0.02947,0.30189,0.02273,0.0059,0,0,0,0,2.57619,7.49017,178.289,2.29237,0.0012476,0.0012476,0.0012476
40,221.064,2.77474,6.59387,69.2268,2.33444,0.02947,0.30189,0.02273,0.0059,0,0,0,0,2.57619,7.49017,178.289,2.29237,0.0012278,0.0012278,0.0012278
41,229.588,2.91399,6.67265,131.187,2.40223,0.02947,0.30189,0.02273,0.0059,0,0,0,0,2.57619,7.49017,178.289,2.29237,0.001208,0.001208,0.001208
42,238.215,2.87151,6.65802,98.9114,2.37364,0.02947,0.30189,0.02273,0.0059,0,0,0,0,2.57619,7.49017,178.289,2.29237,0.0011882,0.0011882,0.0011882
43,247.189,2.8429,6.84845,90.7693,2.46389,0.02947,0.30189,0.02273,0.0059,0,0,0,0,2.57619,7.49017,178.289,2.29237,0.0011684,0.0011684,0.0011684
44,255.898,2.86764,6.72834,69.3662,2.41112,0.02947,0.30189,0.02273,0.0059,0,0,0,0,2.57619,7.49017,178.289,2.29237,0.0011486,0.0011486,0.0011486
45,264.331,2.8616,6.89209,120.979,2.40992,0.07216,0.26415,0.04029,0.00949,0.00251,0.0566,0.00135,0.00026,2.56445,7.26576,109.571,2.20251,0.0011288,0.0011288,0.0011288
46,273.044,2.81852,6.73785,75.7992,2.33137,0.07216,0.26415,0.04029,0.00949,0.00251,0.0566,0.00135,0.00026,2.56445,7.26576,109.571,2.20251,0.001109,0.001109,0.001109
47,281.753,2.80295,6.8539,79.0158,2.44162,0.07216,0.26415,0.04029,0.00949,0.00251,0.0566,0.00135,0.00026,2.56445,7.26576,109.571,2.20251,0.0010892,0.0010892,0.0010892
48,290.836,2.97227,6.58363,101.871,2.35376,0.07216,0.26415,0.04029,0.00949,0.00251,0.0566,0.00135,0.00026,2.56445,7.26576,109.571,2.20251,0.0010694,0.0010694,0.0010694
49,300.165,2.80273,6.59959,61.7986,2.40724,0.07216,0.26415,0.04029,0.00949,0.00251,0.0566,0.00135,0.00026,2.56445,7.26576,109.571,2.20251,0.0010496,0.0010496,0.0010496
50,309.07,2.88344,6.67565,60.2502,2.3002,0.07216,0.26415,0.04029,0.00949,0.00251,0.0566,0.00135,0.00026,2.56445,7.26576,109.571,2.20251,0.0010298,0.0010298,0.0010298
51,317.816,2.81862,6.7046,73.7033,2.46966,0.05917,0.18868,0.03745,0.00907,0.00417,0.09434,0.00228,0.00031,2.58615,7.30214,102.786,2.19884,0.00101,0.00101,0.00101
